@relation Fibonacci

@attribute FibonacciNumber numeric
@attribute ComputationMode numeric
@attribute runtime numeric

@data
37,1,542
17,0,142
20,1,513
18,1,197
11,2,762
25,2,461365
34,2,39339348
31,1,3691
17,1,280
14,1,235
31,1,278
20,1,133
9,0,363
4,2,279
20,1,137
24,0,165
29,2,3164292
17,1,243
35,2,63260838
5,0,457
3,1,4367
5,0,91
14,0,115
16,2,6354
23,2,176317
8,1,345
15,2,3863
30,1,337
6,1,201
27,0,169
12,2,1021
36,0,223
11,0,106
20,1,234
13,2,1537
11,2,647
16,1,197
36,2,101738799
13,1,5031
9,1,467
29,0,706
39,1,557
33,2,27142126
11,1,7468
37,2,170551888
13,2,1746
38,1,3896
37,0,498
23,1,380
24,1,124
38,2,269643723
2,2,479
7,1,4682
31,0,463
35,2,64731799
24,0,507
38,2,273163594
13,1,4165
5,1,392
30,1,364
25,1,309
9,2,631
36,2,101851269
16,1,4432
29,1,378
36,1,345
8,1,802
37,1,121
37,1,120
39,2,441904610
28,0,548
9,2,496
35,1,4053
29,1,318
10,1,403
24,0,152
14,2,2444
8,0,89
13,0,105
30,1,249
5,1,272
25,2,518248
4,1,592
14,1,368
3,1,345
23,1,234
22,0,197
24,0,154
39,1,246
19,1,8151
23,2,176361
34,2,37967904
38,1,40262
40,2,728274181
34,0,953
33,0,401
30,1,6288
34,2,42431447
15,2,4039
20,1,3869
4,1,414
31,2,8521438
6,1,1465
29,0,458
2,2,150
22,0,153
30,1,322
2,2,70
30,1,138
10,0,97
8,1,316
23,1,677
18,1,225
28,1,223
32,2,14501392
16,2,8919
8,1,4259
16,1,510
31,1,582
25,1,787
14,2,2674
36,2,101515126
39,1,3818
32,1,417
7,1,457
29,1,196
1,1,67
20,2,41860
17,1,265
40,1,125
14,0,392
12,2,1050
13,1,311
35,0,211
27,2,1207776
21,2,67391
21,1,263
33,1,124
33,1,124
10,1,237
6,1,257
39,1,135
16,2,6204
36,0,213
40,1,127
9,1,186
22,1,249
29,0,179
9,0,95
10,1,123
19,2,25849
36,0,225
3,1,390
26,1,202
3,0,82
12,0,117
28,0,169
40,1,124
36,0,204
24,0,153
15,0,356
5,1,1939
18,0,213
2,1,620
16,0,197
33,1,280
17,0,207
36,1,485
33,1,199
14,1,293
26,0,273
5,1,512
1,2,126
24,1,310
11,1,267
6,1,173
25,1,179
32,1,189
39,1,224
4,1,181
19,1,561
31,1,231
8,1,199
35,1,252
8,0,158
18,1,190
15,2,7053
37,1,305
34,1,151
1,0,86
22,1,273
6,2,226
6,2,120
7,2,205
22,1,134
1,1,81
4,0,120
9,1,149
27,1,210
26,1,135
9,0,139
24,1,265
19,2,28024
36,0,235
20,1,134
39,0,241
28,1,136
38,0,231
9,2,344
3,1,142
11,0,116
8,2,271
26,1,273
20,1,137
20,2,44967
6,2,130
21,2,72882
29,0,190
16,0,137
26,1,138
16,2,6690
28,0,197
28,1,260
18,2,17220
33,0,226
32,1,135
3,1,132
7,1,137
19,2,28177
4,1,136
37,0,250
4,1,315
34,1,141
38,0,234
21,0,153
35,2,61917097
13,0,811
27,1,3968
4,0,81
37,1,398
30,1,357
22,1,295
27,1,122
14,1,348
15,1,286
22,1,121
16,1,120
37,1,122
6,1,237
21,2,67740
18,0,171
39,2,453902011
29,1,3783
34,2,41509865
7,0,910
36,0,216
37,1,4405
38,1,248
33,1,347
38,2,275113153
23,1,3888
5,2,1123
40,0,581
23,1,180
36,2,108032099
37,1,3895
30,0,458
10,1,418
2,1,396
15,2,4003
25,1,427
10,2,503
37,1,161
33,1,249
23,2,176309
24,1,196
39,2,430004357
19,1,5087
23,1,411
29,0,654
33,0,353
5,2,674
2,1,820
