@relation FilterArray

@attribute ArraySize numeric
@attribute FilterKey numeric
@attribute runtime numeric

@data
2848,7278,39534
25316,22785,343974
62975,2532,869829
60759,97785,742647
14557,32595,183278
51266,34810,625807
31329,96835,357509
83861,54430,1345836
25000,30696,385686
63291,2848,775331
63924,49684,789090
40823,18354,512401
67089,33544,847330
55380,88924,1458037
42089,86709,527840
73101,75000,1532782
87025,67405,1144057
0,5696,23275
57911,27532,778627
67405,26266,927817
13291,36709,200834
52532,80063,743613
3481,1899,51321
93354,22152,1280100
71203,83228,1105296
40506,83228,5305440
34177,39873,419116
69937,9494,983533
66456,93354,935690
4430,8861,3979951
19937,50316,250986
9494,62658,120156
51582,47468,642204
62025,70253,753450
65823,39557,818263
26899,47785,329569
6646,75633,88020
2532,45570,35549
81646,49684,1016015
35127,71519,505084
36076,56013,467263
47785,54430,619757
95253,20253,1350952
99367,19620,8771850
94620,11392,1370377
93987,45886,1846694
90506,70253,6495985
49051,15823,621122
66456,10127,5429092
76266,48101,926171
86392,4114,1069818
33861,72152,409232
67722,46835,6479792
53165,19937,641083
85443,96203,1179945
72468,65823,980429
47152,46835,592817
59494,25633,811569
19937,67089,249746
33544,81962,558254
68671,49051,830515
99684,81962,2540750
77848,27848,963809
22468,3165,281062
25949,35443,317634
9177,65190,116345
5380,12342,69267
56962,94304,958605
13291,46203,166236
86076,37658,3406853
92722,19620,1133043
5063,43354,72343
47468,82911,743082
59494,17722,1294429
50949,72152,913295
61709,11076,860557
14557,75000,379933
8228,13608,270125
22785,29747,288298
64557,96203,998045
13608,66139,242028
42089,50949,624836
90823,6962,1114784
50633,61709,626395
76899,49684,1180954
16139,37658,245806
6013,14557,75540
24684,21519,297232
32595,60759,387223
6013,48101,75346
84494,46835,1039483
8861,98734,116545
25000,52532,287796
51266,23418,615181
64557,16139,778451
62975,96519,1026276
59494,24684,741536
33544,46835,415562
54747,316,671797
27532,43354,432684
8861,86392,114763
99684,19304,1277741
72468,41772,890712
49051,61709,1327657
14241,30063,190874
26266,43987,347705
50000,47152,835213
69620,22468,1157050
17722,87025,227593
82911,50000,965521
38608,52848,441727
17722,51582,197580
76582,47468,2487202
94304,6329,1149412
48418,71835,607620
1266,16139,23434
95253,1582,1672783
19304,69620,277289
64873,73734,773679
54747,18038,843178
35759,69304,453619
52532,48734,993596
74367,37975,881957
25949,70253,304756
40506,92405,1168690
18038,93987,224921
40190,18987,559578
95570,83228,1129424
34810,67089,452398
19620,3481,266346
87975,24051,1077820
89557,11709,882585
26582,316,313193
99684,41139,1241044
53797,98101,683262
99051,58228,1246165
50000,39873,724056
88924,37658,1339363
6329,66139,97296
39557,77215,534288
76899,36392,910719
50316,83228,517341
87342,24367,918740
6962,62975,73142
20886,31962,230242
53481,40823,747034
26582,6962,362631
28481,93038,353775
66139,69937,943077
62025,10127,844126
56329,17722,558091
11076,74684,109812
84810,84177,831233
70886,64241,789875
75000,39557,744030
89557,71835,1087852
18038,92722,224436
7278,71519,88541
87975,82278,1121083
87025,71203,1018757
42089,37975,423649
39557,72152,407023
57595,30063,562570
47152,89557,524667
89241,13291,943606
33228,12025,335901
44304,38924,555158
62025,8861,722681
56962,91772,619276
58861,74051,632784
46835,26899,562395
10127,98734,140924
633,34177,9439
24684,13608,239659
6013,949,60595
28481,91139,279734
28165,7911,282033
68038,95253,666754
5063,35443,52081
14873,78481,144031
9810,82278,99123
25949,55696,255897
51266,83861,497020
81013,64873,933570
2848,45570,40360
19937,53797,241537
42089,62658,436867
32911,16139,323963
64873,17089,635420
36076,76582,360118
73734,12342,760535
49051,79430,477096
61392,65506,590689
19937,26899,202376
633,0,8358
81646,70886,794580
27848,64873,277931
33228,55380,326256
44620,9810,432873
62975,74051,645656
98418,31329,1288653
65506,65823,635645
82278,82911,798829
83861,43038,885588
54747,86392,1080243
41139,27215,377563
82911,31962,765501
34810,52848,435741
38608,49051,450124
49051,20570,831147
68354,99051,666975
3797,81013,38801
71835,13924,653533
22468,2532,205090
54114,56013,578789
91772,1266,829781
60127,83228,543789
25949,37025,235137
38608,76899,352675
87975,71203,840517
47152,69937,465411
25316,28165,251830
26899,56013,242683
78481,74051,719181
32278,65823,354196
2532,5063,26335
9810,78797,89077
62342,84494,553878
26899,73101,240805
17722,55380,165550
30696,16139,279804
29114,97152,264533
78797,92722,766902
71835,95253,789448
29114,97468,289874
63924,35443,567570
40506,8544,412631
45570,43354,413971
15506,88291,143904
97468,67722,884817
75633,24051,904326
5380,68987,55288
81329,26899,739693
3797,40506,35993
3481,68038,32238
6329,88608,56927
59494,87342,586261
22468,51582,221462
33861,68354,391481
43038,60127,445543
81329,93671,851732
66456,87342,685543
32911,43038,507267
65506,90506,820819
99684,38291,937915
65506,82595,603397
26266,9177,236925
20570,77532,224341
89873,34494,1022188
55063,24367,751847
15823,37025,186845
88291,12658,921420
92405,79747,995818
31962,27215,353614
90823,36709,976225
53165,9810,603468
16139,70570,175534
82278,34177,983782
66456,45570,609061
19304,56013,183274
17089,19304,174771
53797,22152,503121
4747,25949,46912
12658,93354,113391
75000,93038,693982
46519,38924,532915
8544,25633,81713
6962,57595,63942
73734,41456,915972
84494,32911,1144854
37975,48101,463644
23418,5380,220365
76582,83544,920799
95570,97785,1151683
83861,39241,1107223
76582,89241,838023
84494,79114,999123
81646,87975,800266
64873,93354,860181
3797,14557,44814
87975,41456,960825
40506,95886,414965
83544,24051,848591
46519,79114,453558
36709,39557,380451
23418,43671,246662
79430,3481,942885
75000,69620,708489
61076,6962,726167
18354,55696,287586
13291,33228,134278
15190,34810,152877
91772,97468,1002409
95886,81013,896820
83861,41772,821403
37975,88291,342636
36076,50949,340802
98734,29430,1397679
89557,45570,924524
72785,89557,865063
27215,5380,571787
44304,67722,492570
88924,75000,828609
45886,18987,418480
48734,80696,530865
48101,15823,543158
68671,28165,836544
24367,11392,293446
96203,71835,964074
42722,16772,400352
27215,66139,286214
15506,87975,148648
92089,56962,1776391
46835,9494,751187
36709,62658,486960
99367,28165,888626
91456,21835,877558
26899,21519,246093
22468,40823,203491
45253,70570,407846
89873,97468,918868
49684,96519,528344
80696,13608,732275
66456,35759,671599
16139,80380,149450
37342,14873,342484
23418,34177,211747
89873,11076,807976
79747,43671,819094
13924,98418,171491
64241,54114,624700
71519,39873,647746
16456,59494,153070
0,65506,1305
83544,16139,895931
99684,84810,987950
16772,24051,173727
99367,53165,898095
3481,64873,34847
46519,90190,417326
89557,19304,841986
8228,38291,74950
99684,56013,1252004
1266,56013,28395
37342,50316,465900
67405,27215,733598
88924,73101,1017060
84810,32911,831068
93038,23734,906961
62025,37342,606438
29747,87975,290740
23734,37975,236913
35127,60759,353659
23101,74367,226355
88291,27215,957771
68038,67089,640811
36709,63608,336474
40190,82595,362642
0,69304,1792
78481,73101,1336197
69620,1899,1223320
78797,22468,770811
80380,84810,735212
34810,45886,323152
23418,45253,213683
80063,75949,785512
64557,79114,572456
31962,59810,287572
13924,7595,127524
80063,61392,724283
24684,86076,224089
56013,63291,511234
96203,60127,954587
77848,14557,837488
6013,68671,77445
64241,94620,755594
87025,76582,973814
13924,94937,157859
25949,73418,335734
12025,78165,123863
28165,81329,301316
51266,10759,637919
10759,0,124695
97152,6013,1208452
62025,96203,614005
69304,35127,696190
37342,48101,364988
77532,58544,709819
40190,46519,372131
61076,44304,711354
52215,89241,592847
76266,53165,867678
11076,47468,124003
94304,66456,879530
10127,99051,204226
48101,88608,504481
89873,51899,841213
49684,95886,449268
5696,80380,57823
99367,74684,1069930
76582,61709,842852
12658,88924,156833
57278,87342,587945
48101,0,448929
91772,65190,994941
12342,11392,154555
53165,949,477425
56013,70570,510383
91772,70570,1122238
83228,2848,1286732
67405,25949,845577
25633,79114,322925
42405,99367,424848
11709,25000,120917
40190,37025,404202
38608,39873,361968
18671,46835,178809
81013,44937,1065780
18354,34177,189135
58861,90823,757861
82278,8228,896098
73101,81013,738408
96519,44620,884449
68671,10443,684074
76582,99367,883524
0,6646,18432
95253,95886,2440466
62975,12025,667127
23734,76582,217181
10759,82278,98064
43038,23418,394812
90506,99684,892560
8861,36392,83651
55063,37658,525917
61392,37658,740013
13291,19620,155062
9177,60759,137293
46203,28481,462214
66456,63924,728456
97152,80063,993883
9494,14557,105838
60759,15506,594994
90506,13608,895992
13608,69937,161531
87025,92089,1131155
80063,55063,1037076
15823,60127,204416
52848,17405,521658
26582,8861,275343
88291,80063,882806
13608,88924,151637
33861,94304,364150
19620,21519,396689
5380,60759,107528
89873,49367,810444
10443,69620,96512
38608,97785,348439
74367,24367,673511
26899,22152,243479
73734,46835,1084894
22468,8228,226891
8228,6013,103990
90506,61076,938007
80380,25000,740524
56329,10443,505088
56013,52532,503209
65190,54114,583702
56329,60127,514813
14557,16139,133415
23101,71835,206725
99051,56646,901723
87025,11392,1688627
37025,34810,339348
3797,66456,36398
17722,39873,161864
69620,67722,644612
20253,17405,187841
15190,42405,144317
75316,24367,773309
53165,18038,478106
7278,29747,68438
99367,26582,890397
25949,77215,247961
72152,11709,663608
16456,78797,157305
23734,86709,213092
76582,66139,684898
35759,6646,330123
60443,27532,553365
71519,15190,733583
51266,4747,462847
11392,79114,104109
44304,67089,398683
63608,56646,566393
32595,40190,420486
60127,48101,612319
87025,34810,793880
50316,98101,513917
58544,50000,529629
7595,23101,70700
83228,13924,750270
32911,70570,328890
53797,21203,514567
54114,97785,491311
12342,28481,113836
83861,9494,752142
5380,70253,49693
26582,28797,255985
23734,42722,218323
23418,56646,214729
71835,35443,642671
79114,93987,792948
70570,91772,1361799
11709,94937,188759
49051,52215,724709
87342,56646,831258
24684,33861,325207
69620,47785,657844
18671,32595,173619
59810,83228,538885
51899,78165,520956
26582,27848,241232
76266,62658,721966
33861,80696,311217
43987,51899,396887
30380,62975,406474
17722,15190,187702
54430,87342,503389
20886,81329,195429
23101,23734,210970
28797,99051,268460
96519,12025,880610
28481,78481,282654
56646,82595,714173
6962,45570,116600
58228,63924,539372
89241,67089,820800
92089,4430,998503
54430,25949,664576
30380,58544,513757
60759,94937,753647
25633,92089,340197
23418,16139,262377
31013,92722,462580
75949,35443,1007104
21203,46519,227318
29114,26582,273861
3165,75633,30067
50949,9177,538152
60759,62658,852461
87658,34810,872783
6646,3481,83272
75316,68354,952491
44620,26266,504844
10443,82278,128841
23734,14873,260053
84810,58544,808182
8861,63924,95347
49051,38608,486233
25949,34177,250551
39873,67722,368401
96203,47785,1242335
38291,97468,496239
17405,5380,266716
63291,66456,674036
62658,28797,570216
97468,22152,934325
70886,22152,739764
67089,27532,695783
71203,67722,924505
27532,73734,322795
66772,27215,1089907
62975,3165,676178
62342,20570,661287
98101,81646,881233
89557,1899,858548
31329,74051,286123
57911,99051,706035
70253,88924,716557
1266,10443,17972
89557,27215,1053418
6329,68671,72456
41139,52215,404429
93038,31646,2666891
80380,3797,862450
63924,27532,693224
1899,36709,32856
29114,89873,314754
40506,58228,480205
40190,69620,513106
13608,12975,135202
99684,96835,1043338
9810,57911,92247
19620,7595,215279
58861,40190,573293
40506,12025,599792
86709,41139,840789
56962,93354,575185
88608,50633,945846
59494,6329,538944
47152,8861,496538
28797,633,258597
9810,12658,91200
50316,79747,504105
66772,69937,738809
54430,80696,507910
73734,96519,920133
52215,90823,570934
71203,14557,727015
18354,36076,168701
78797,23101,743329
28797,75949,262900
69304,98101,626284
49367,14557,497722
52532,32595,604734
24684,1266,249417
42722,19620,469088
17405,8228,169754
93671,41772,905116
38924,80063,402018
76266,30696,724350
61076,29430,545668
12342,58861,112644
29114,95253,263693
34810,17089,322835
55380,42405,556318
5380,12975,52574
53481,91456,544822
96835,36076,890271
98418,9810,1122192
37975,51899,430933
90823,14241,852795
93038,62342,1152553
54430,633,696366
47785,3481,486788
71835,97785,657341
25949,13924,233739
46519,51899,417867
3481,97468,33981
69937,95570,630826
42089,62025,382864
4114,67405,39154
81962,75316,797023
71519,49684,685696
72152,23101,729627
68671,27532,819261
97785,63291,901170
88608,39557,820677
31962,99684,287779
2215,316,22473
52215,76899,467972
52215,76266,528137
26582,33861,260644
86076,33861,812804
7278,50949,70642
84177,46203,759867
17722,3165,161328
75316,94304,686746
90506,95570,833952
54114,92405,1050930
79747,2215,728386
42405,0,383527
11076,59810,102043
633,53165,7027
24367,17089,221278
14241,98418,131396
43671,24051,393970
8861,85127,81988
63924,11709,569985
27532,19304,484366
84494,11709,1424299
79747,92089,838973
98734,79430,912858
13924,84177,129657
38291,88608,344401
87975,72785,797036
94304,26899,870395
61709,15190,553056
6329,65823,59216
9494,99051,86382
78797,16772,721283
80063,64241,770766
93038,24684,840287
