@relation HistogramEquilization

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1316,2016,234672300
1956,100,11907438
2660,2133,618726588
4516,1899,868711937
5284,3072,1801678391
1764,452,61167117
1508,2993,449887750
292,3658,82367978
2148,1273,224624437
6180,3150,2167828514
1892,726,107025152
1508,3424,517700183
2276,2172,433364257
3940,1625,593751011
4388,3306,1526605270
3172,3658,1298406924
4964,3072,1704351245
996,3619,322362223
5604,2720,1648728000
2916,2016,608680728
4772,1312,546930047
1444,1625,244806535
868,217,10590975
1828,1038,173857088
6244,804,486345837
6244,2485,1706277075
1316,2993,397749943
5732,296,122626777
5924,1508,910118051
5284,1938,1225164825
2020,2055,435598041
4580,1703,813043881
4580,2172,1056152027
3172,2055,680971689
2468,1899,470068553
2980,1625,421768474
1636,1195,207119223
3940,1038,421882463
5540,1664,973558737
4452,2251,1102312072
1252,882,95046390
5924,2993,2014522845
548,1977,81242052
6308,3697,2684998608
3620,2329,855509165
5284,100,34247493
4196,3580,3176578592
2148,3775,900967689
2276,2759,686958842
996,2251,281322672
2532,3150,1030072667
5156,1429,655079203
2724,1117,253450360
4708,2720,1449367984
6372,335,205791929
3364,2642,965430742
4772,256,83437400
5988,2290,1500423296
5540,2446,1503357308
1060,2172,185451271
1188,3306,412486473
4132,3033,1350222860
5092,1234,608150393
2340,1938,406010985
1508,921,119924642
6308,726,434208570
5924,2642,1738668063
2980,3658,1184385994
5412,804,433764115
3300,2485,881242941
1508,2954,446608643
1444,3033,409645866
4388,999,424863316
3172,296,66865358
3492,647,198306270
2916,882,222135194
3236,3775,1269335415
164,2876,33980893
3684,3228,1227184991
612,2446,155767293
2020,726,165738321
5412,1234,642741251
5028,2211,1201467424
6180,3580,2452757440
1508,2133,336606709
2340,3072,875303713
4132,1664,615983902
740,2681,244449035
4388,2290,1051298758
3556,1781,637315282
164,1078,11852365
4900,804,406164504
1956,1234,209324042
2404,178,31101336
5476,2642,1556578606
1956,1586,313760612
740,3736,282755551
6372,2602,1833140155
3364,139,31693739
4964,1977,1063506695
2468,804,169998953
4836,804,422025466
1956,1469,241865815
1188,491,43998709
2404,2642,594298737
1764,3072,504863096
4644,3267,1700592443
4772,2290,1152915560
3684,178,88992390
4580,3189,1650554635
4260,2407,1066706257
3620,3345,1373284885
4516,491,224808969
548,2016,96510635
4260,3267,1650894159
1188,3736,427658096
5860,217,86790429
1060,1938,163133568
2020,2798,656703829
3108,452,101330556
420,1938,61305134
2916,530,124292938
5348,921,461295018
4452,1820,848085241
1956,647,98637743
4580,2524,1344726106
228,3854,61502183
5028,3697,2114260354
420,2133,67565610
228,2798,43348978
2084,1156,282483415
6308,804,485787043
932,2954,302613360
3620,2642,1042543249
2596,2485,712333862
3044,1547,466961148
6180,2563,1725212233
4516,1781,896648413
1508,1781,228637109
3812,569,175480776
1828,3736,682751317
5540,3072,1995273276
4260,3775,1813751198
164,3463,42540185
4772,2720,1484842387
2468,726,202355647
1956,687,150057563
4900,1273,683301839
164,2329,25584958
6116,3815,2744519487
6436,335,160780097
3364,1469,439825650
2660,1625,431164124
2148,1195,225303612
5284,1038,534496066
5220,3111,1778692531
4708,1273,541905736
868,804,52845320
2276,3893,882697799
612,2915,150225333
2404,2798,636408683
3940,2954,1189034776
5028,569,244995446
356,1938,56316165
5988,569,304330372
5348,882,426065732
1252,3580,416777723
3876,1429,477727746
5028,3228,1832454247
4196,3345,1577805997
3044,2485,734266340
3364,3228,1178280571
5924,2759,1807615246
5220,2133,1180633743
3300,1899,579752101
484,3267,124678000
5540,1742,985803762
2852,726,161523174
6116,374,172238312
3044,999,271578451
4772,2915,1445330632
2596,2094,484964370
1636,1938,283190935
5924,2876,1811836414
1892,1234,191725604
1252,3345,375632450
2468,1273,265954782
4068,882,310080615
4452,999,395196148
868,3267,255716575
5412,2759,1637645932
2148,413,69885799
484,3658,153561666
3236,3463,1380558467
5796,1664,1108469106
6372,2642,1878598609
5284,3580,2109107793
5476,1625,862073052
2596,2407,640182309
5476,1429,733513878
484,1469,51930109
4708,3697,1928227522
3044,1156,318674872
4004,2798,1126153207
484,3072,115895139
1892,2602,456121236
2212,1703,326570203
3748,1781,623066730
5860,765,436748731
5924,2016,1205075704
3940,100,27267440
3748,3424,1347496119
5412,1781,1032000143
2020,882,151343943
2084,726,129785523
3364,647,180486027
6244,2172,1394029558
1188,1938,222900282
1828,3463,594560945
996,2915,249855345
2980,3463,1029078328
4388,2602,1173893104
2788,374,85364717
676,3736,256863128
228,2407,40234412
2724,2251,571599976
5924,452,230246905
2468,1469,312009816
996,1625,131636717
5988,1703,1008538852
3684,2485,921875395
292,3580,74571514
4452,3619,1769183235
676,2602,183850197
4132,2837,1218964718
5348,491,228678665
1764,1351,221607967
4964,3775,2310926639
164,1117,9707487
5860,1156,608426200
3108,2368,684275600
1636,3658,591355559
4900,1625,769294484
804,530,36483690
4644,2290,1079237674
1124,3267,340737307
3108,1195,303799847
5668,1117,619870271
5860,3424,2309113870
3172,3893,1261940812
6372,3775,2764930999
2148,178,26981205
1956,882,159858910
1956,2681,514130160
228,2642,48886899
5156,3775,2154779941
