@relation RGBFilter

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute runtime numeric

@data
1124,3893,226296832
5988,1703,337042253
4324,3228,473292783
6244,3424,728294477
4068,2524,397859952
420,2915,47158087
4388,256,39526755
3236,3228,332461140
100,3932,14223968
932,2524,72069447
4452,1234,189581311
1316,1899,85331001
2596,374,48837612
4196,726,97927049
5220,2485,424835964
2148,3619,260879765
4004,921,213390336
3300,2681,286571373
1572,139,7601532
2916,2133,203275081
6052,3267,613552520
3428,2563,267881996
2084,1351,84816599
2596,2993,241924517
4708,1156,180297912
5796,1977,367792672
6308,1508,311574435
1956,1586,108511548
5604,3150,744916671
6436,999,206521243
4964,2211,342260617
4068,1664,218871414
2788,1860,164487016
3300,178,17147401
5924,1078,203347415
4964,2759,757819803
804,3502,128160987
4516,2759,581813859
1572,3854,213396159
1316,413,24068463
6372,1860,446994332
4388,3463,529795291
2596,1038,84148823
4196,3541,860735229
2596,3736,373264335
484,413,5944473
4772,3932,922687808
2660,3384,466466902
2340,1351,117421186
2916,3697,515484674
3364,2172,232377897
932,1390,47141193
2532,3697,295140680
4900,2055,359303928
2660,335,40259596
2788,1820,160168310
2660,1351,112566989
6180,1899,494522879
4132,3384,476567513
356,3893,54471416
2340,3033,235477794
1572,530,26575627
2148,3228,231322857
1252,3697,154635225
2084,217,14479989
4196,1469,190783355
4708,3932,673558712
1316,1820,77677748
3172,2290,227085742
5604,1977,354382367
228,1977,17351675
356,647,8244703
2532,3619,295136740
4644,1234,185000012
4644,2642,410505574
5284,2485,510975660
3108,1860,187488953
420,1703,29913971
1316,3697,273801917
5156,3345,554112698
5284,1195,209502002
4836,1586,248791771
2404,1860,148575062
4388,3697,532093820
3812,569,68384456
5540,3697,777184875
1508,3189,146309358
740,960,23582973
2596,2798,240657789
5988,3267,628106957
3428,491,67518981
5604,1586,304333457
4580,687,108922792
2084,1156,93249532
2084,530,47711820
4580,1742,321822670
2852,3111,305695948
2980,1977,230853074
3876,3736,558683664
6244,1703,355637683
932,1351,39737659
2340,491,34511619
4452,2837,422733602
4516,569,85121610
228,2251,15559914
4900,726,122997452
100,1938,6880246
2340,3463,258146211
4644,3306,488320580
2724,1351,122654373
4644,1781,260184390
4004,2681,342727441
3492,882,121308608
3364,2681,310468233
4644,530,81389874
4836,3541,544869994
1060,530,21542608
1380,3775,173129123
4324,1390,192343696
932,569,19573254
6244,3775,1087349764
4196,3815,500033393
3684,2407,407877303
4068,3424,488646209
2852,491,47525851
4708,3619,648664788
1892,804,51194193
5796,960,174894741
996,1547,49576724
1060,100,3318656
5540,139,25220006
2148,2446,163973444
932,3736,119633660
3492,1664,202662519
4836,1860,300716335
868,3541,97256640
612,1312,27862547
4324,491,69124063
1636,843,62861007
6372,2837,965670635
5284,1625,267801471
4324,139,22106242
1764,2211,174480539
2276,882,71195124
5220,1899,343415783
5988,3463,1170558387
1636,2993,169125861
1828,3267,229401857
3556,2133,400650352
804,3775,119410313
5668,921,161995435
3172,3697,371943422
5668,3854,745785674
3556,2329,256307858
4708,1195,180693153
5668,3306,617285854
1828,2759,164394560
4772,178,29260423
548,178,4797276
3812,1547,240807474
612,3815,76320983
3812,1234,172423050
1764,843,53200839
5860,1977,412220990
2596,1625,152363604
3620,2290,260162289
3876,2993,642669484
6180,647,127011076
6308,3502,830997149
5476,2720,475896987
2276,2329,198935256
4708,2759,420804253
1764,3580,288669320
2340,374,43908940
6436,139,39216787
6116,3619,1488149818
5476,3384,567986667
5668,1156,322057244
3556,1625,179661730
5220,2563,569949046
1636,687,40104990
3172,2094,275482120
2724,530,133373611
4772,2329,455664625
484,1860,41020097
4644,1078,158909424
6436,3228,712093789
2532,3345,261320491
3620,1156,127564347
2468,2016,178022722
6116,2211,672934933
164,3580,22497001
2916,2563,231435797
3428,335,38006516
2852,2954,291485164
3108,3658,788689979
5668,2602,512751775
