@relation RSADecryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
2,9,354545
14,9,325781
1,11,11817947
2,10,1334645
23,10,1319098
14,11,7794634
1,11,7120966
1,11,7905812
13,10,1330809
6,10,1315008
23,10,1324800
3,11,7073493
18,10,1330625
26,9,332490
6,11,7036707
25,10,2165328
7,9,371717
17,10,1316554
18,9,331954
26,11,7076581
11,11,6993677
1,10,1312911
2,10,1327842
13,10,2626702
30,9,390747
9,11,6965850
28,10,1310546
14,10,1305146
3,9,325857
14,10,1323723
9,10,1331271
21,9,334111
4,9,326405
13,9,323693
17,11,7049697
5,10,1353527
0,11,6949578
0,11,6999100
26,11,7142298
12,11,7011201
18,11,6945893
27,10,1316924
23,11,6938538
15,10,1328835
28,9,330593
2,9,325018
14,11,7109661
19,10,1319464
14,11,6943964
8,10,1310294
13,10,1301672
21,10,1329267
17,11,7108033
12,9,329402
2,10,1306319
26,10,1325054
27,9,334173
14,10,1316592
21,9,330303
26,11,9608465
1,11,7135795
28,10,1305632
0,10,1324313
13,10,1324822
19,10,1294665
22,10,1309995
22,9,329193
28,11,7055257
1,11,6921636
24,10,1341051
27,9,322716
1,10,1309048
2,11,6960995
2,10,1330288
20,9,326598
28,10,1300161
29,10,1330088
8,10,1350941
3,10,1297423
15,10,1317670
11,10,1384629
13,10,1359200
11,11,6935017
7,11,6992201
18,11,7014027
15,9,329463
16,10,1322299
2,9,324447
8,9,332231
2,10,1317333
17,9,725921
16,9,334635
9,11,6984566
24,10,1503551
6,9,333483
25,11,7116658
18,10,1324592
1,10,1316279
3,9,323558
19,9,328750
24,10,1336032
17,11,7103982
4,10,1319283
9,11,6961772
8,10,1308499
4,9,328789
2,11,7337053
24,10,1349478
26,9,321097
4,10,1371274
12,9,331433
29,10,1327707
8,10,1348632
18,11,7044870
5,11,9629960
15,11,7538613
1,10,1898479
22,10,1335280
6,9,327173
4,10,1339845
20,10,2674023
29,10,1327849
15,10,1325838
22,10,1312253
28,10,1325886
24,10,1356026
17,10,1316624
23,11,6962963
8,9,330577
6,10,1334566
10,10,1320082
10,9,330922
4,10,1313991
5,11,6953764
15,10,1317527
24,9,325544
2,9,333414
27,9,322505
13,11,6911913
13,11,7109169
11,11,7028896
7,10,1349819
21,10,1359565
6,10,1299890
9,9,330959
10,10,2560866
26,9,324714
17,9,338363
15,9,333321
24,10,1319113
14,11,6938804
20,11,7130329
27,10,1336624
4,10,1345337
4,11,6976373
8,9,322779
17,10,1315636
15,11,6957110
2,10,1334093
18,10,1330254
13,10,1407965
27,10,1307476
19,9,334459
15,10,1353871
29,10,1346804
21,9,353566
17,10,1302881
9,11,7002128
22,10,1833062
19,9,417143
0,10,1326636
28,9,338814
6,9,339047
20,9,325014
30,11,6961989
18,10,1457142
20,10,1432711
17,10,1464349
29,10,1339212
9,10,1311270
4,11,7103162
24,10,1348848
17,9,324817
27,11,6982894
20,9,341314
2,10,1392996
25,11,6954869
20,9,581083
18,10,1307813
18,10,1332225
29,10,1344373
0,10,1437138
3,10,1320225
8,9,320436
28,11,7000891
9,10,1304822
16,9,327909
26,10,1319935
8,9,329923
20,10,1323652
15,11,6999636
1,10,1432591
23,9,635709
19,9,326627
5,10,1324405
21,10,1340123
9,10,1343726
30,9,339328
0,11,6990434
21,10,1323269
24,11,7173903
18,9,339652
1,11,7093854
13,9,330316
24,10,1303939
23,10,1314829
20,10,1316385
24,10,1337500
8,10,1342228
2,9,327384
26,9,337498
18,10,1310095
8,9,330264
10,10,1314052
30,11,7031168
17,10,1556985
26,10,1319828
15,10,2468387
18,10,1329479
19,9,330381
13,10,1326682
27,11,7098891
2,9,327476
25,10,1339061
16,10,1335817
4,9,328064
4,10,1309051
28,10,1308535
0,11,8292177
20,11,7054659
2,10,1328519
27,10,1305211
10,11,9502416
23,10,1320849
11,10,1312775
6,11,7178448
11,10,1316154
2,11,6973539
13,9,339823
20,10,1309437
20,11,6978714
14,9,329156
18,10,1347879
5,10,1341722
11,11,7600581
9,10,1444491
23,10,1691974
6,11,7016714
25,10,1332884
4,10,1332220
22,9,322600
25,9,327885
23,10,1321369
24,10,1346838
5,9,340403
15,10,1322099
15,9,333599
26,10,1308357
16,9,327231
10,10,1302239
16,9,332734
17,10,1332074
26,10,1321338
25,10,1323172
7,10,1330816
23,9,378062
30,9,860346
22,9,339692
11,9,324219
10,10,1359229
26,11,6943509
22,10,1333310
20,10,1352159
3,9,362291
21,10,1324789
8,10,1310661
16,10,1471652
8,11,7086501
19,9,371426
2,9,343662
14,10,1331106
7,9,331167
20,10,1337793
1,9,326076
14,10,1319214
15,10,1326265
18,10,1346228
22,9,321376
23,11,7023219
27,9,327609
26,10,1325784
26,11,7096055
25,9,373366
25,10,1322442
29,9,331935
28,11,9583182
22,9,326392
16,10,1338706
5,9,333166
5,10,1315445
18,10,1343286
