@relation RSAEncryption

@attribute StringLength numeric
@attribute KeySizeExponent(2^x) numeric
@attribute runtime numeric

@data
27,11,342324
1,10,177192
14,10,176061
17,9,70915
3,10,141736
21,10,191056
22,9,82495
30,10,142106
11,10,138233
6,9,109902
6,9,120203
1,9,71083
26,10,146807
23,10,130371
10,10,177546
16,10,150605
0,11,365452
11,11,336413
10,10,139830
0,9,131724
23,10,282105
16,10,195904
24,10,194208
12,10,179163
29,11,341020
15,10,164069
29,9,73253
6,10,154710
13,9,93599
21,9,72447
29,10,230139
29,10,196739
4,10,241019
20,10,175862
27,10,211586
13,11,356843
11,9,396793
21,10,177657
18,11,344582
5,10,171486
8,11,347409
22,10,169293
6,9,97274
29,10,155650
18,11,438046
8,9,210190
24,10,202539
24,11,371353
6,11,339380
6,10,429080
24,11,383784
20,10,173396
10,9,70314
8,9,76419
17,11,332580
18,9,80165
2,10,171175
0,10,163751
8,11,339891
1,11,339477
2,9,78116
12,10,193451
11,11,332764
19,9,86392
10,10,202859
6,11,332779
29,11,333886
6,10,174521
17,10,259373
8,11,401606
23,10,216954
10,9,135971
23,10,142306
16,10,140061
21,9,68958
21,10,181779
0,10,240697
6,10,163894
18,9,310746
4,9,130607
20,9,193692
29,10,223112
24,10,167069
14,10,173430
1,10,181362
12,9,92306
13,9,75296
7,11,342560
6,10,162523
19,9,123911
30,10,180137
11,10,146192
7,10,140355
9,10,171689
10,9,88927
17,9,80882
12,9,113302
0,9,158912
14,9,145701
9,11,337244
27,10,174672
17,10,171523
3,10,162875
21,10,176368
13,10,174604
27,11,544676
0,9,140262
24,10,274172
4,10,189348
10,11,373187
13,11,339893
21,9,112786
14,10,181425
15,9,85682
20,10,144833
28,9,82107
25,10,176293
4,11,340740
13,9,96752
10,10,146662
2,10,173210
6,10,201357
23,10,170151
8,10,169659
23,10,180182
8,11,346553
17,9,187726
5,10,247579
10,11,347689
19,9,71527
21,9,81990
8,10,188396
5,10,191283
15,11,522547
22,9,167060
17,10,273252
7,9,175595
5,11,334341
2,10,259861
17,10,140931
9,10,166891
4,11,345613
27,9,118781
26,10,175883
30,11,375824
5,9,121989
3,11,338990
25,9,72020
16,11,342940
7,10,180150
19,11,343746
25,10,146841
9,11,337763
10,10,255116
8,10,156746
7,11,338626
13,10,167879
11,11,338037
12,9,96768
1,10,143772
9,11,337123
24,10,141845
13,10,174948
10,10,247469
5,10,197942
8,9,180150
19,11,354882
17,9,121661
0,9,161358
5,9,183560
5,10,173465
18,9,180336
18,11,336028
18,10,159175
12,11,345104
1,10,176441
16,10,184006
1,9,156738
28,10,174110
8,10,203509
8,10,183938
18,11,338283
26,11,412695
27,9,179170
10,11,566894
3,11,359715
19,9,78417
28,10,169532
7,10,141535
15,10,278430
13,10,166924
30,10,134088
4,9,70650
27,10,174316
14,9,70108
1,10,204036
23,11,334938
1,11,369081
23,10,176792
14,10,147093
17,11,350344
0,11,341881
3,11,568866
26,11,358448
4,10,192256
25,10,174329
0,10,170162
15,10,175553
29,9,140052
28,11,363131
25,10,207261
17,11,551294
28,9,76078
13,10,269871
15,9,68749
25,10,174216
0,10,372371
1,10,181372
8,9,82991
11,9,88464
20,9,71947
6,9,128704
10,9,70425
26,10,237460
6,11,337193
2,10,167983
17,10,171906
11,10,176682
16,10,153366
23,10,169115
5,10,174511
1,10,179171
7,10,191627
10,10,158135
29,10,167760
24,10,147752
7,9,80392
8,9,116765
24,10,150679
1,11,346184
3,9,157659
24,11,335422
4,10,146670
1,10,158935
0,11,337118
3,11,337998
24,11,338616
4,9,173243
1,9,70038
30,10,184307
24,11,348544
1,11,349138
25,10,216060
8,10,202522
23,11,388520
17,11,374752
27,10,186672
25,10,224403
25,9,189102
13,10,237986
12,10,178024
1,11,327199
24,10,144431
18,11,338847
13,9,73552
3,11,333172
26,9,78702
8,10,175439
19,10,151397
2,10,168404
6,11,552752
11,10,186613
5,10,450739
11,10,225436
1,10,6486117
24,9,153072
17,10,176701
14,9,134511
13,10,175887
18,11,460343
14,10,236650
21,10,240837
19,9,153311
7,10,219518
4,11,746643
23,11,336563
22,11,373359
