@relation SHAHashing

@attribute StringLength numeric
@attribute 'SHA-Mode (0=SHA-1, 1= SHA-256, 2=SHA-512)' numeric
@attribute runtime numeric

@data
8000,0,780232
2000,1,4554477
6000,1,2785465
1000,0,219380
3000,0,324900
5000,0,483249
2000,1,403998
7000,0,390448
7000,0,659707
2000,1,286136
0,0,257401
7000,2,4507602
9000,2,4944815
9000,1,1335448
7000,2,1075034
0,0,91993
5000,2,295689
8000,2,653012
7000,0,346957
9000,1,1612038
1000,1,187959
3000,2,316391
9000,1,4645654
4000,2,356268
3000,1,329850
0,1,48936
2000,0,154217
2000,1,247476
2000,0,135331
7000,1,749978
1000,2,180081
2000,2,198780
0,2,54744
1000,0,87189
8000,1,1651114
0,1,81759
7000,1,702497
4000,1,3853184
8000,1,505992
5000,1,3196496
7000,1,768152
3000,1,341474
8000,1,3498995
1000,1,177215
0,1,42900
1000,1,138057
0,0,55820
9000,1,879019
4000,0,228570
4000,1,1070841
4000,2,326608
3000,1,270095
9000,0,4466674
5000,1,650699
2000,1,2005772
3000,0,619116
6000,1,721367
6000,0,384873
2000,2,203327
8000,1,832476
3000,0,164578
4000,0,259039
3000,2,286355
4000,1,476845
8000,0,335015
5000,0,268349
3000,1,340769
0,1,47465
4000,1,603388
6000,1,224660
5000,2,492122
1000,2,107203
1000,1,65915
8000,1,200816
9000,0,1698901
8000,2,6836352
9000,1,271497
6000,0,267258
6000,2,523887
5000,1,159860
7000,1,197701
5000,1,158762
7000,1,186788
6000,1,165580
9000,2,846894
8000,0,411672
6000,2,494769
0,2,82721
6000,0,113778
4000,0,122985
2000,0,103904
5000,1,100874
0,1,27509
4000,1,83988
3000,1,65604
5000,0,79351
9000,0,112012
1000,0,37513
1000,1,48221
6000,1,103898
