@relation ScaleImage

@attribute ImageWidth numeric
@attribute ImageHeight numeric
@attribute ScaleFactor numeric
@attribute runtime numeric

@data
5045,2944,2.868182,2444176756
4173,2233,0.890909,155477384
682,3832,0.363636,7711215
5045,3121,1.945455,1197326817
391,2233,0.363636,2331642
5627,2055,0.759091,133473533
5627,811,1.813636,301885613
2718,278,0.890909,12690872
100,1166,1.681818,10529275
5627,1522,1.022727,176377935
973,3477,2.340909,370458273
1845,1166,0.627273,15568307
4464,3299,0.495455,67822941
5627,1166,1.813636,491688038
3591,278,2.340909,108428383
3300,1522,2.868182,823738780
1845,3121,0.363636,16663430
2427,455,2.736364,167314781
973,455,2.077273,38143101
100,3299,1.286364,11880810
100,633,2.077273,7771254
4173,455,1.55,94027577
2427,811,0.231818,2704428
2136,2410,0.231818,5930829
5918,100,1.418182,25668276
2136,2055,1.813636,294589326
5336,2055,2.736364,1677988935
3009,1522,1.022727,94845507
1264,455,0.231818,818517
2718,2944,2.209091,772563898
4755,3299,1.286364,518798228
1845,811,1.55,69966095
3591,2410,0.890909,139589406
1845,1877,1.945455,253634085
5045,1166,0.1,1413038
1845,278,0.363636,2859600
5627,1344,1.286364,253163376
4173,989,2.604545,554402546
4755,1700,2.604545,1224672197
5045,3121,2.340909,1784629860
3591,3477,1.418182,526182582
3591,1344,2.736364,706308842
3591,100,1.55,17925284
4464,633,1.945455,216668805
1845,2233,2.340909,445275882
3882,989,2.472727,593884180
3591,2944,0.759091,177266771
3300,2944,0.231818,12067328
3009,1166,1.55,274947805
100,2766,0.495455,1771016
3009,1166,2.604545,468849726
5336,3299,2.340909,2128573584
100,811,0.1,90776
2427,2944,0.890909,120239426
1264,455,2.340909,60751966
100,3121,0.363636,934257
5918,811,0.890909,77063865
5336,3477,1.945455,1484237008
4755,3121,1.945455,1227892296
2718,3477,1.681818,526238399
2136,2233,1.681818,305630969
3591,2055,0.495455,37117709
2718,1166,0.890909,52673387
5627,455,2.604545,356310570
100,3655,2.340909,39539864
5045,2588,2.736364,1954117156
2136,2410,2.604545,775731856
3300,2055,1.681818,386829492
1555,100,0.231818,247507
391,633,1.813636,16702024
973,1700,2.736364,243046113
1845,100,0.627273,1339500
3009,1700,0.363636,17705994
100,2410,2.340909,27810983
5336,3121,2.209091,1719616664
3009,811,2.077273,228747712
5627,3655,2.209091,1992748750
3591,989,2.077273,312654016
682,100,2.472727,7603754
100,2410,0.495455,1243092
682,2233,0.363636,6229574
3009,3832,2.604545,1589342051
973,2766,2.868182,460687933
4464,1877,2.868182,1341690297
3009,3299,2.472727,1260890928
3300,3655,0.759091,135331403
5045,3832,2.077273,1658959475
4464,2588,1.418182,521607500
2136,2410,1.022727,107908682
3591,2588,0.231818,9230672
4464,2055,1.418182,435716695
4173,989,2.077273,434428139
3009,1344,0.363636,11954424
2136,811,2.604545,338500404
5336,2233,2.472727,1451692377
2136,1344,0.890909,45818825
2718,633,1.022727,32555791
5336,2588,2.604545,1831572591
973,811,0.1,283611
1264,2233,0.627273,22636816
2136,1522,1.945455,243826489
2427,1166,2.209091,297091933
1845,2055,2.736364,615591342
4173,2410,0.495455,47184085
4464,2944,1.55,599340647
2718,2766,1.022727,149607767
3009,633,2.340909,202241327
5045,633,0.759091,36071488
1555,2588,2.209091,383172179
973,1522,0.1,430700
5336,2766,2.472727,1770014731
100,1700,0.231818,251556
4173,1522,0.1,1427872
682,2233,0.1,477111
5045,2233,0.627273,87499592
4173,1344,2.209091,528076869
1555,3299,0.363636,15229447
5336,811,0.363636,10634544
1845,2588,1.681818,264684390
391,633,2.472727,31979790
3591,1700,1.022727,124836350
2427,100,0.759091,2503783
1845,3655,2.209091,647999536
5918,1877,2.604545,1549631426
1264,3655,0.759091,50196653
2718,2233,0.759091,70165754
3300,3121,0.495455,48717783
3300,811,2.340909,287218993
682,2055,2.340909,155905283
3300,455,1.945455,108648289
2136,1522,1.022727,66662280
973,2588,0.495455,11227712
4755,455,1.55,101499177
2136,633,2.604545,182744967
4755,633,2.868182,483532795
5045,278,2.868182,284838505
4755,1700,1.813636,513369672
3009,1166,0.627273,27535288
5336,1344,0.231818,8506339
1555,1700,0.495455,11696297
2136,1877,2.077273,334759503
5045,1877,2.077273,882362099
3300,1522,1.945455,375665368
682,278,0.759091,2016034
5336,3477,0.1,3812927
2427,2766,2.077273,567801688
3009,1700,2.472727,687107087
2427,2055,1.681818,269966316
1555,100,2.209091,15787153
682,455,2.472727,38591837
3009,989,0.890909,45090483
3009,455,2.472727,161112879
1555,3832,1.022727,128313747
4464,633,0.363636,9309893
3009,633,1.418182,76447754
3300,3299,2.077273,925712940
100,3832,1.813636,24295098
5336,2233,2.604545,1582727890
5336,2944,1.813636,1017768624
1264,3477,2.736364,684996346
391,2233,2.209091,89504591
391,1700,2.209091,60315057
973,3655,1.286364,115769737
2427,633,0.495455,9530055
4755,2766,1.418182,521539814
5045,3121,2.868182,2515037237
5627,1166,2.209091,612039865
2136,3477,1.418182,314032896
2136,1166,1.55,118138451
5627,3832,1.945455,1724498826
5627,633,2.077273,401488741
682,3655,1.022727,58571390
391,989,2.340909,50313580
5627,3655,1.945455,1708540821
5336,2766,1.154545,566126963
2427,455,2.604545,204357806
2136,1344,1.55,143410816
682,1344,2.736364,195129435
391,633,1.418182,9810484
1845,2766,0.890909,77490666
5336,100,1.55,23365423
5045,811,0.890909,61412118
973,2766,2.736364,393327899
1264,3477,2.209091,420552973
2718,2944,1.286364,262960038
100,1166,2.868182,17949011
1555,2233,0.1,1509417
4755,3655,1.022727,418612786
2427,811,0.759091,20489318
391,3477,1.813636,90261276
4173,3655,2.868182,2619940328
3009,2944,2.604545,1204680207
1264,3655,1.55,217421312
4173,2766,1.813636,741190644
5045,2944,0.627273,117068637
1845,455,2.604545,112515048
3009,1166,2.868182,580712015
2427,2055,0.363636,11936977
1845,100,2.868182,29957692
2136,2055,2.736364,650757827
3882,633,0.890909,39661140
4173,278,2.209091,113116656
2136,3655,0.231818,7841640
1264,278,1.418182,12754096
4755,1700,1.154545,212122656
973,633,0.890909,8759270
4755,1700,2.472727,962054170
2136,3832,0.1,1739630
5918,455,1.55,123593812
5627,633,2.604545,477323755
5627,455,1.286364,78456594
5627,2588,2.077273,1291697236
2136,2055,1.945455,315486140
3591,278,0.759091,12874701
1264,455,2.604545,78563282
5336,2944,2.340909,1908434924
4755,3299,2.604545,2112644577
3591,278,1.945455,77922906
2136,3655,1.55,370077679
2427,1700,0.495455,18998861
682,278,2.472727,23393808
391,3477,1.55,63965030
5627,1700,0.890909,144016500
4464,1166,0.759091,59508373
100,2944,2.604545,35905998
5627,1877,0.231818,12440767
1555,811,0.1,886838
3591,1700,2.340909,703905403
2136,100,0.890909,3654697
4173,1344,2.736364,834134270
1845,1166,2.340909,237385431
5918,1166,0.890909,107657640
2427,2766,1.154545,172437211
1555,2944,2.209091,445808766
973,3299,1.945455,232006738
5045,100,2.736364,73368185
100,3832,2.209091,34338248
973,2766,1.681818,148111280
2427,3121,0.627273,60680163
1845,278,1.418182,18451244
391,1877,1.022727,13989654
2718,2055,1.022727,119761638
1264,1700,0.890909,33089111
3591,1522,0.363636,13204323
3882,2588,0.759091,116364228
2718,633,0.495455,8305009
2427,3299,2.209091,778690850
2427,2233,1.55,252216218
3009,2766,2.868182,1363898503
2718,1700,1.813636,300001892
2718,1166,1.418182,127289276
973,2588,0.363636,6173987
973,1344,1.286364,41407624
5918,2233,2.077273,1107798384
4173,1166,2.604545,651398537
5627,2588,2.868182,2368601171
4464,2944,2.736364,1939598521
1845,3655,1.022727,134139799
391,2410,0.495455,4517959
5918,1877,0.231818,12234649
3300,811,1.286364,92537438
1555,989,0.1,458189
3009,2766,1.681818,481083046
4464,3477,2.868182,2491075386
973,278,1.286364,8038151
4173,100,2.472727,84159761
2136,1877,1.418182,158963332
3300,100,0.890909,4758532
1555,3655,0.627273,45618250
973,1522,0.890909,21192286
4755,3299,1.813636,1071793072
5918,1522,1.418182,354840172
391,989,1.154545,11794161
3009,3655,0.363636,27328981
1555,2233,0.890909,49648842
3300,811,1.945455,204823857
3882,455,1.813636,112371562
4464,1344,0.363636,14747988
1264,1166,2.209091,140305837
2136,989,2.340909,271262853
3591,3299,0.1,2485723
100,2233,2.736364,34917514
5045,2766,0.759091,158665399
3300,2233,0.495455,33234566
2718,1344,1.418182,141606169
1845,2055,2.868182,626244940
391,3121,2.472727,146037564
5918,1344,0.759091,90468890
4464,100,2.209091,39188457
973,3299,0.759091,37973935
2427,2055,1.55,236734821
2427,2588,2.209091,614018683
2427,278,2.868182,104429312
5336,2410,0.890909,200288860
1845,2233,0.627273,33003239
5336,2055,0.759091,123245485
100,633,0.1,75174
3591,3477,1.154545,331255768
5627,100,1.022727,10883252
4464,633,0.627273,23907925
973,3832,1.418182,151035246
3009,1522,2.736364,674979609
5045,1166,2.868182,961433885
4755,1522,0.495455,36449910
5918,455,0.495455,11852655
682,2766,0.759091,20490298
2427,2410,2.209091,548411221
391,633,2.077273,23919375
2427,2410,2.472727,703884971
5918,811,0.495455,26253844
2136,1877,2.209091,385976462
2136,2588,2.340909,606401234
391,455,0.495455,858984
2718,2944,2.077273,673077054
3300,1166,1.813636,243346872
4755,3655,0.890909,270136810
2718,1522,1.286364,144611825
4755,811,2.604545,501126512
1845,1166,2.472727,257568834
4755,1522,2.604545,965580909
391,2233,2.736364,133027805
2136,100,1.55,9186034
4755,2233,2.077273,891043400
4173,3121,2.868182,2103034612
2427,3477,1.418182,333583536
5045,455,2.736364,341464030
2136,3832,0.627273,66682594
3591,100,2.340909,35158567
973,1877,1.154545,44865386
391,2588,1.945455,74194780
682,1877,1.286364,41252320
5045,455,0.759091,23697611
3591,811,0.495455,15120018
3300,989,1.418182,129128378
5627,3121,2.340909,1876402052
5627,2055,0.495455,56611216
5627,2410,2.472727,1636979897
1264,1522,1.418182,76784707
3009,2944,1.681818,510815285
3591,100,0.759091,3786434
5336,989,1.154545,137989123
1555,1700,2.868182,427721630
4464,278,1.813636,75694380
5627,1166,1.945455,478607493
3591,633,0.890909,38472670
3009,1166,1.154545,91962377
682,3655,0.495455,11191460
3300,1166,0.495455,17407174
