@relation SortArray

@attribute ArraySize numeric
@attribute runtime numeric

@data
3955,306838
9000,943680
564,35428
1548,104151
3211,234796
770,46506
8070,637915
6276,609319
4345,319763
1755,113934
3263,239523
4607,423892
3152,430583
6772,552173
3951,302971
9979,839249
310,20516
8030,656436
1875,124390
8407,2255116
8774,749969
8392,674822
9846,803419
1465,94808
4483,332928
4835,377711
8675,744361
2665,187821
7012,552274
8576,703523
3810,284195
7689,643980
9110,1018493
2410,185937
3733,300179
3378,269596
7494,636266
7949,697513
9629,837164
3021,215068
3079,218263
7748,649578
3769,295618
2848,214784
1259,86951
1306,90698
2661,185143
9419,780746
830,55583
4281,344146
6910,562900
9778,844737
4451,360918
3187,250260
4451,363780
9097,914117
3475,279906
1954,145055
5149,425906
7685,615439
5147,445800
1979,140912
1218,88334
247,13562
449,27896
5721,489911
4706,396566
2046,155722
3272,257785
8455,718421
6308,601979
9311,837703
6405,546034
9645,843590
6481,530934
4237,734825
8997,763584
7985,618425
5465,403176
5577,430923
2285,156070
5910,1455099
1888,132635
1398,99081
792,50895
6402,538893
7067,602861
9056,773710
7610,652416
7573,630023
7911,668631
8586,728416
4594,857470
899,59076
786,52398
9455,750318
9917,1009813
3027,225655
5954,435402
8868,702861
3089,233311
6739,563883
405,25539
2698,204491
8363,705224
6683,571515
3620,289057
3036,236574
7673,675535
535,35381
8131,628119
5691,443577
7102,596308
2474,186980
5646,480863
9698,862846
6306,542302
2628,200048
7549,664633
6067,527057
5257,449415
935,63571
6353,550164
5144,425276
2953,232976
1248,84680
2731,211056
6107,508898
1771,132182
8749,756975
6130,521524
9274,786380
3695,264586
873,52272
2675,184467
1467,105190
7179,623750
9770,682796
331,15223
8926,615264
9270,794631
4019,316261
6137,501293
6064,499029
8907,770145
2637,197505
3454,263486
783,51324
7157,615704
2933,234798
7355,616396
8134,682267
6970,578252
4604,378644
7441,2755275
3393,267137
1163,78337
7474,615026
4778,381460
8723,2029820
4025,349205
3368,252274
3776,289755
2060,146940
8623,746904
193,9955
5030,404206
5192,439744
4377,358348
2852,221763
3091,228894
3167,251127
5574,457648
9617,880709
7905,1387359
6896,472946
3839,243058
1836,104984
3159,193507
5469,356431
5143,322107
6777,459310
300,14144
4595,308800
5203,346123
8757,749899
9225,1168585
9212,1129981
9582,1106408
239,10374
1220,62959
8687,824176
2900,223616
1111,76020
4821,382607
8367,728838
6892,612476
7692,637085
9923,1665851
57,2609
1038,71462
6955,545682
9897,921460
6973,564032
2340,600017
3029,214510
1135,69059
6772,546542
5281,439018
7984,788563
9188,849465
2843,210530
9509,751634
3385,241116
1552,94334
9525,850345
2900,218255
6551,678982
4955,393113
5103,389918
7776,703100
9558,1363425
7546,632874
7591,627867
2229,162433
6643,981826
2837,504516
3107,243133
2994,220796
8215,675191
6189,1034591
4223,365105
4402,451290
519,31646
9074,813899
20,888
8818,758943
4369,331653
5730,444831
2601,180588
6371,447610
6521,453833
6646,567909
3812,300583
9366,852425
2252,150573
5633,369485
869,54981
2439,184881
7174,619110
6498,710163
7469,673829
3577,293425
2932,211599
7524,806601
1434,115094
5836,393456
4069,252640
208,7928
2262,132573
7398,528705
1568,117128
2719,210906
7537,616993
6313,540980
9372,815751
784,54808
5650,466532
7155,759079
2398,172150
1751,120804
5216,424433
2501,1067089
3453,264850
6926,598010
1424,173743
6568,668992
6079,504365
