@relation SubsetSum

@attribute ArraySize numeric
@attribute Sum numeric
@attribute runtime numeric

@data
6203,36709,920021
9968,64557,1221805
7627,56962,23511
4779,97152,46904
8038,48102,149933
5538,2849,214999
634,72152,337069
8861,10127,559845
6298,60760,2853815
191,44937,894070
6393,89557,1731148
8893,41773,194057
3608,62975,228209
2089,70253,3677250
5981,99367,438761
8165,97152,135777
3672,26899,15168
9336,23102,2485285
3956,87025,158318
9430,58545,237934
222,6330,1279
4209,28165,2925856
6867,91456,572977
2596,93038,1189679
2216,97468,493997
7690,38292,668192
3165,99684,472096
5538,33861,3094839
3070,9495,329537
9589,29748,181524
7753,34811,1225316
1900,85760,126934
33,19938,972
5697,12659,1402984
8544,6014,792821
8196,28798,64454
9779,34178,390557
5254,38925,3592667
729,1267,97804
2121,95886,97807
6931,65507,1932690
6045,28165,669180
4209,19621,174653
6931,75633,2827339
8386,84177,11243
1457,33229,1390238
4621,84810,880931
4241,77532,55407
1045,2216,1598127
1710,57279,148571
5064,60760,2249542
1900,52216,1465944
4494,2849,1507589
2343,14874,241034
1963,66772,226792
4399,9811,1363315
7975,75317,515256
1172,58228,2193483
5443,85127,60116
1963,61709,1075583
8829,13292,515929
9905,74051,909939
1488,10760,958869
1140,18988,2742585
1773,55380,30601
824,93354,227027
1172,85760,930236
9462,45887,1215863
1931,69621,448267
6456,5064,4573
2912,84177,240251
2944,8545,258332
5538,51266,712320
3830,86709,13884
2944,45887,83665
8481,44621,30370
7943,75633,795288
9747,62342,240552
1710,54114,164458
7342,10444,814188
7026,33229,564283
9241,24051,186887
1963,45887,1515325
3387,17406,121580
9019,92089,452853
7690,27216,422942
3229,52216,1410646
9842,47469,118385
9620,48418,461796
5159,3166,527249
3640,20254,1837450
159,84810,1701988
7500,78481,131259
1330,51899,109716
4431,67405,97963
7532,83861,220728
3988,58228,631694
3608,87975,734490
7374,33229,1903012
317,61076,236857
5443,85443,70829
3766,26583,149376
9272,75317,4579383
8386,41140,13635
9114,67089,129324
6108,4748,2583254
4273,77215,1144230
1108,22153,50619
9399,57595,121672
381,99367,2590202
6519,29431,2183919
507,44937,1285913
9494,56646,2067479
7405,89874,906615
8291,98734,61171
1551,23102,1160215
919,41456,2412388
476,44621,241167
2437,9495,1542509
1615,34494,1979738
3608,50950,36499
5886,83228,559607
4684,93038,2386590
1741,59811,791165
887,38608,340770
950,72785,737937
9810,64557,222081
887,21836,379046
9241,36393,14464
1836,23418,495664
1488,87658,299951
3070,82912,190794
2564,26583,260908
1741,79431,465060
507,66456,1441667
6709,81013,28432
9937,48102,701664
3197,94620,794457
9747,73734,206581
5001,21203,1473001
8639,69937,498966
887,14241,135910
2058,60443,78285
4463,60443,708632
8734,94937,266524
1330,16140,576383
9810,5381,2278325
7310,33229,140043
2153,79431,3998
8513,16457,1534870
9937,16140,1415040
9873,49051,454061
1678,91456,1511030
7437,30697,1510636
8987,83861,1534812
729,60760,428374
3703,83544,204352
4273,95253,186151
8861,75950,778863
7057,46836,174945
507,4431,130470
5570,74684,562402
8260,98734,694416
2406,50000,872391
6994,91456,166108
8007,98418,598234
5159,47785,201046
3830,13925,294488
8291,38292,1222530
3292,61709,864318
6045,61076,1548415
8070,96519,129819
2311,30380,147130
5507,94620,354565
5886,66140,68918
3925,60760,377508
4304,28482,1124320
7975,81646,153317
6203,56962,378280
6424,37026,1277741
4684,12976,173619
6488,65507,456018
4716,20887,866114
1900,56962,1320398
8355,11393,2238811
1267,62026,902731
3355,50633,511441
3735,67089,2370387
412,95253,164988
2058,80380,63021
9272,92722,509184
5665,21203,832084
5443,82279,139717
7469,43988,565896
4146,17089,419588
1551,93987,47905
1,77215,147
7785,78798,30682
3450,21203,824294
4209,36709,177073
3418,56330,25553
3323,47469,318494
9241,25950,4263251
5032,634,364942
4304,43355,616058
6045,62659,223116
7785,45254,26898
9051,33229,236930
6962,75000,499731
855,17722,150520
317,78798,303025
