n,m,runtime
1,1,243
0,1,146
0,1,116
1,3,167
1,1,137
1,2,131
1,2,128
2,2,173
0,1,122
1,1,134
0,0,269
0,2,131
2,3,228
2,0,151
1,2,151
1,1,137
1,2,130
1,3,142
0,0,139
1,3,143
1,2,227
3,1,392
3,3,5525
1,1,279
2,2,248
2,2,196
2,2,159
1,0,139
2,0,140
1,1,138
2,2,458
2,2,189
0,1,133
3,2,1125
2,1,155
2,0,139
1,1,134
1,2,138
1,1,121
2,2,171
1,2,258
2,1,179
2,2,165
3,1,355
3,2,1112
1,1,136
2,3,205
3,2,1126
2,1,158
0,3,127
3,2,1232
2,1,175
0,2,128
1,1,143
1,1,136
2,2,163
2,1,155
1,3,153
1,1,123
0,2,122
3,2,1231
2,1,176
2,1,150
2,2,173
2,3,203
3,2,1124
0,0,132
2,1,146
1,1,143
1,1,145
0,2,228
0,1,126
2,0,145
2,0,131
0,1,133
1,3,165
2,3,225
0,3,119
1,3,134
1,1,147
1,2,294
1,1,146
3,1,349
1,2,146
1,0,136
1,2,135
1,0,124
2,3,214
1,1,126
2,1,152
0,1,250
0,0,134
2,2,180
2,1,155
1,3,161
1,2,129
1,3,144
2,3,208
2,2,170
2,0,140
2,0,243
2,1,182
2,0,125
3,2,1145
3,1,332
2,0,130
3,2,1125
3,1,331
2,1,143
2,3,214
3,0,314
0,2,140
0,2,121
1,1,143
1,0,145
0,3,119
2,2,176
0,3,119
1,1,137
0,1,118
0,1,223
2,3,224
2,1,144
0,2,122
1,1,141
0,1,121
3,2,1129
2,2,159
1,1,129
1,1,139
2,2,313
2,2,177
0,3,133
3,2,1120
2,2,161
3,0,171
2,2,161
3,0,158
3,3,5575
1,0,145
2,2,275
0,2,150
1,1,147
1,0,145
2,2,168
2,3,204
1,0,124
1,2,141
2,2,160
1,2,128
2,1,265
2,2,213
1,1,158
1,2,139
2,1,152
1,1,136
3,0,198
1,3,145
0,2,138
1,2,130
1,0,260
0,2,149
0,2,119
1,2,140
2,1,168
2,1,161
3,1,345
2,1,152
2,1,154
2,2,183
3,2,1260
2,0,152
2,0,125
2,0,128
1,3,152
