ImageWidth,ImageHeight,WantedImageWidth,WantedImageHeight,runtime
1380,491,3940,3619,15287
3300,1273,5220,100,18083
3300,1273,5220,882,16549
5220,2837,3300,100,16672
4580,491,2020,491,17395
2020,3619,4580,882,26765
4580,2837,3940,2055,17426
3300,3619,5220,100,17368
1380,100,4580,882,12506
3300,2837,740,491,16004
5860,2837,100,3619,18388
1380,1664,2660,3228,16716
5220,100,4580,491,19607
2020,2055,740,491,17463
5220,3228,2660,1273,17639
3940,491,2660,491,15202
5220,1273,3300,491,17915
1380,3619,100,882,16778
2020,100,5860,1273,13217
1380,2837,3300,3228,16948
4580,491,3300,882,22672
3300,3228,3300,3619,17268
3300,2837,5220,2446,16404
740,2446,3940,1664,21308
1380,2446,740,100,17185
5860,3228,4580,1664,16270
5860,2837,740,100,16327
3300,491,5220,3619,31217
2020,882,2020,100,18310
100,3619,100,2837,16706
740,2837,3940,100,16831
5860,491,1380,3619,18152
100,2446,1380,2837,13720
100,2837,1380,491,15303
740,491,2660,3619,13674
3300,3619,5860,2055,18904
2020,100,2660,491,14403
2660,491,100,2446,17013
2020,2055,5220,1664,16724
3940,882,1380,3619,15957
5220,1664,5220,491,17040
4580,100,740,2446,14460
100,2446,740,882,19785
3300,3619,2020,491,15692
5860,2446,3300,882,25055
740,100,100,2837,13638
740,491,4580,2837,15098
100,882,100,1273,13266
100,3619,2660,3228,20284
1380,3619,1380,2837,16641
100,2837,2660,2446,16601
2020,100,4580,100,12553
4580,1273,2660,491,16377
100,1273,4580,1664,13007
1380,3619,2020,2837,16922
100,100,1380,2055,12518
740,2446,2020,100,16835
740,491,4580,3619,24141
2660,491,1380,100,15684
5860,491,1380,491,16551
4580,3619,3300,882,17517
2020,2055,3300,2446,16468
2020,2446,5220,1664,16199
2660,3228,3300,491,38358
2020,491,100,3228,15316
2660,1273,4580,3228,17398
740,3228,3940,2055,16348
100,2055,3940,2055,14403
5220,2446,100,100,17976
5220,100,740,3619,22923
1380,2837,740,100,16086
4580,2837,3940,2446,18315
3940,1273,3300,3619,16306
1380,1273,3940,2446,16220
1380,882,4580,100,16207
740,2837,3940,2837,21426
5220,491,4580,3619,16300
2660,882,4580,3619,16452
1380,491,3940,2055,14965
5220,882,5860,1664,18484
2660,2446,740,2837,16837
100,2446,3940,882,14693
4580,2837,4580,1664,16574
1380,3619,740,882,16580
5220,3228,740,3619,18186
3300,491,3300,1664,17527
5220,3619,740,3228,17982
740,2055,4580,3619,17199
740,3228,3940,3228,18010
3940,3228,2020,2446,17799
3300,491,100,1664,17152
4580,2055,100,2055,17666
5220,2055,100,1273,16701
3300,2446,2020,1273,18445
2660,1273,5860,2837,16340
1380,2837,4580,3619,16748
740,2837,5220,3619,16081
5860,3228,100,2446,16528
740,882,100,2837,15557
4580,2446,740,3228,17741
2020,3228,5860,100,17315
1380,882,3940,2055,18793
5220,491,100,2837,15687
740,100,2020,1664,13644
5860,100,2660,100,15517
3300,882,740,2446,16150
740,1664,1380,1273,17484
2020,3228,5220,1273,21779
2660,1273,740,2446,22545
5860,100,5860,882,15020
2660,1273,5860,491,16400
2020,491,1380,100,19053
3940,1273,100,1273,16199
3940,100,2660,1273,13831
3940,882,740,2837,15904
2660,2446,3940,882,18138
5220,3228,2020,2837,16461
3300,3228,4580,3228,26904
3940,100,3300,882,14898
2020,3228,3940,2446,16958
100,1273,100,882,30506
5860,2446,5220,491,18506
5860,2837,1380,1664,17190
2020,2837,5860,3228,15951
2660,2837,3300,2446,17194
4580,491,3300,3228,21301
5220,882,4580,2055,16461
2020,3228,3300,1273,16024
3300,3619,3300,1273,17457
5860,2446,100,100,17022
100,100,1380,2446,13051
1380,3619,740,2055,17391
4580,1273,2660,2055,18966
4580,3619,1380,2837,17436
3300,2446,1380,491,16246
740,3228,100,2055,18177
100,1273,3300,3228,13758
