ImageWidth,ImageHeight,Sigma,runtime
3300,2766,7.136364,1319184469
3591,3477,2.636364,1212198597
5627,633,5.090909,464811816
5045,811,3.863636,393957446
682,1166,3.863636,76274158
973,2233,2.227273,151119518
3882,1344,7.136364,756563655
2136,1522,8.363636,475795663
5627,1877,7.545455,1516875143
391,1700,4.272727,64097533
3591,1522,2.227273,413107045
1845,1344,5.090909,280115062
5918,811,3.863636,482299985
5918,989,7.545455,863200817
3882,1166,4.272727,479684457
682,1522,1.409091,63091156
2427,989,8.363636,372124054
682,989,8.363636,109220090
3009,3299,1.818182,802126011
3009,100,4.272727,30852941
3300,2233,1.818182,528789812
2427,2410,2.227273,490868866
5627,100,7.136364,78667557
973,811,4.272727,83317324
3300,1522,9.590909,604444216
2427,2766,5.5,830028187
1264,2055,7.545455,397598389
1555,2944,1.409091,343197360
973,1166,1,70025949
1555,1166,9.590909,209957235
2427,2410,3.454545,553673107
3882,278,1.818182,85401366
391,1700,3.045455,51614635
1555,3121,1.409091,327783843
100,100,7.545455,3763054
1845,3655,9.590909,746125794
5045,278,1.409091,96858589
682,1877,4.272727,129847023
100,1522,3.454545,15750437
391,2233,4.272727,112596814
5627,100,9.590909,70872917
5045,2588,1,1085150076
4755,1344,3.045455,572240493
1264,1166,7.545455,199172483
4173,3299,4.681818,1635474833
4755,989,9.181818,546965364
5045,2233,1.409091,825577297
973,3121,1.409091,203751302
1555,2233,2.636364,275401294
3882,3832,2.227273,1241287189
2427,3655,5.909091,1079487477
5627,3832,1.409091,1731840353
2718,2944,1.818182,604055574
2718,100,4.681818,35139757
4755,2410,5.090909,1313004275
100,2588,8.363636,43507723
4755,278,7.136364,189633166
2427,2410,6.727273,737162668
5045,1344,5.5,813038930
4755,989,2.636364,378217063
100,2766,3.454545,29943078
4173,2588,5.5,1304966226
5045,989,1.818182,358838311
1555,2410,9.590909,465953094
3009,278,8.363636,124360978
100,1344,6.727273,18746454
1264,1700,1.818182,150826920
100,633,6.318182,10502455
391,2944,6.318182,135516469
2427,3121,4.272727,773746371
3882,3299,6.727273,1796006730
3009,3832,4.272727,1333256562
2136,1700,7.954545,562840962
682,2410,8.772727,176465027
2427,2588,6.318182,774367564
4173,455,1,116096042
2136,811,2.636364,134647289
1555,2944,5.909091,545603635
1845,3477,3.863636,632548102
5045,2766,1.409091,1249381645
3591,633,3.454545,199737826
2718,2588,3.863636,678422084
973,278,4.681818,40163243
973,100,7.954545,17440235
3882,100,6.318182,52177116
682,2055,6.727273,179805566
4173,455,5.5,239378510
2427,989,1,156783875
