StringLength,KeySizeExponent(2^x),runtime
35,9,1221530
35,10,1651379
10,10,1681027
5,10,2201534
45,10,3408295
0,11,8933321
30,11,8494136
25,9,644837
15,12,60066154
45,11,8315346
20,12,60086517
25,11,9542445
15,9,490040
20,10,1527169
5,9,501192
20,9,460451
5,11,9991018
10,11,11746411
35,12,59276580
10,11,8420997
25,13,427335689
15,13,520796028
15,10,1550348
15,12,61958075
45,11,9637138
0,9,435010
30,13,423601785
40,13,420655698
35,13,432482749
40,9,521989
15,11,9817923
20,13,425851813
45,13,418407617
10,12,57893443
0,11,8950926
30,12,56677505
40,12,58077201
35,10,2485131
20,9,471463
35,9,451551
30,11,9029685
5,11,8426074
25,12,59329879
35,12,81088062
5,9,487539
20,12,57319811
15,10,1630365
10,12,55032360
45,9,421446
25,10,1625276
10,9,540567
25,11,10164588
15,11,8825488
15,9,426928
25,11,8053162
40,10,1509408
30,10,1929841
25,12,64588408
20,11,8968514
45,10,2776634
0,12,58945520
5,11,8581737
10,9,574391
30,9,551302
5,12,55164698
0,11,9936801
20,11,8988721
45,12,55236629
45,12,57577791
10,13,413706167
10,11,8356206
40,12,55988151
30,12,64846182
35,11,8294734
25,9,400251
40,11,9140818
15,11,8479801
30,11,8452552
0,9,403182
0,10,1469610
40,9,586162
35,11,8220360
5,13,435281181
40,10,1966698
30,10,1589470
5,10,2402249
30,9,406919
0,10,2008463
25,10,1983929
45,11,9163448
20,10,1736584
40,11,15007458
40,11,8825244
45,9,451967
0,13,442399747
0,12,60469305
10,10,1605585
35,11,8415009
5,12,73500470
20,11,8114709
