StringLength,KeySizeExponent(2^x),runtime
30,13,6780734
15,12,1925424
40,10,413985
35,11,503884
25,12,1156063
40,12,1183247
20,12,1108231
20,10,366039
45,10,371851
35,12,1363178
45,12,1680497
0,10,264248
5,11,486915
35,13,3825643
40,13,4445325
10,12,1029358
5,11,600143
25,11,424714
0,12,1022773
40,12,1082489
10,11,516037
0,11,459021
20,12,1244931
45,10,233863
40,11,519954
5,12,2165136
45,11,440569
0,13,3561822
30,10,282446
25,13,3448827
25,12,2501388
45,12,1172704
10,13,4100944
40,12,1046359
35,11,520188
15,11,494367
20,11,442420
15,12,1058647
30,11,433349
25,11,409637
20,12,1102794
15,11,1518521
40,10,404409
35,12,1049804
10,12,1670402
0,12,1174249
40,12,1054714
25,12,1084476
15,10,231268
0,10,238891
15,12,1086080
10,12,1367751
5,12,1092471
10,12,2250122
40,11,840521
5,12,1633388
10,11,852796
5,10,869978
20,11,1080642
25,12,1735968
5,12,2200361
10,10,585837
30,12,1507129
45,11,402033
40,11,461634
25,10,233681
0,11,525492
25,11,521908
45,12,1078485
35,12,1421398
25,10,368571
15,11,531752
30,10,264754
30,12,2123031
5,11,415264
45,11,760564
0,12,1798869
35,10,246129
20,13,4320753
0,12,1174885
5,13,3488329
15,12,1141504
30,12,1375695
30,11,597284
35,11,660895
0,11,404383
15,10,388414
20,10,223214
30,12,984621
10,11,400493
10,10,226845
35,12,1201607
35,10,369623
15,13,4437401
20,12,983156
30,11,404438
5,10,237458
45,12,989032
45,13,5609027
20,11,668841
