ArraySize,Key,runtime
61392,78165,492
39873,24051,1886
6013,2532,243
82278,56962,2693
24051,2215,781
9177,41772,682
7278,34494,379
41139,24367,2513
70253,43038,1722
85443,63924,929
52532,21835,577
17405,88291,175
53481,72468,1771
54747,14873,2266
10127,98101,322
11709,91139,313
29430,43987,1580
25949,96203,726
99051,42722,1597
16772,23734,762
18671,62658,294
32278,78481,149
80696,71203,3682
45570,58228,1754
85759,5380,1278
76899,99367,1049
42089,57278,831
42405,52215,780
42405,84494,2159
2848,56329,730
70886,78481,948
85127,34177,3232
78481,24367,2760
1899,56013,157
24051,32595,881
67722,5063,2181
53797,48734,583
91139,65506,10537
18987,18354,397
56329,54114,415
27215,17089,398
90506,79747,486
21519,90190,309
70886,18354,1765
89873,5380,2852
86392,633,3398
38608,52215,433
77848,47468,1977
6962,13608,491
58861,59177,2531
6962,78165,328
19620,76899,992
95570,56962,635
19937,84494,249
5380,80063,175
633,25633,162
49684,45570,404
42405,56962,340
33544,0,1583
75000,32911,1752
8228,9177,392
27848,95886,410
9494,82911,207
65506,56646,731
49051,63291,670
18671,31013,228
32595,35127,846
316,29114,109
5380,74367,626
46203,12658,650
4114,97785,301
78165,60127,3662
13291,27532,179
7911,32911,148
97152,1582,1941
16139,19304,3270
25633,39241,2995
19937,949,1490
42089,21835,1808
74051,12975,898
52215,5696,543
76582,90190,651
90190,40190,695
68987,17089,729
6646,42722,125
93354,47785,361
66772,12975,169
88291,23418,962
80380,25000,2964
52848,75316,2129
67722,70253,4987
69304,50633,1614
50633,17722,313
30380,18671,634
60127,68671,554
15506,31013,193
19937,48734,851
30380,66139,892
38291,7278,931
36392,50316,1361
37025,16772,1882
81646,31646,348
97152,35759,1944
75633,55696,1745
86709,26266,407
82278,3481,954
3481,949,100
73418,73418,1687
86392,94304,3513
75949,3481,585
99367,91456,2135
72468,28165,1739
16772,5696,463
94937,78165,2112
28481,4114,1640
94620,25000,6848
96835,76582,1569
5696,24051,189
83228,18354,675
93354,42405,703
50316,18354,717
93038,69937,2447
97468,5380,4270
8544,23734,1944
27848,37975,847
15506,28481,800
79430,62975,3322
48101,81013,3308
91139,54747,2877
31329,75316,906
88924,96203,6362
53797,20570,1342
92405,49684,6253
92722,61392,2389
14557,12975,378
18671,41456,1945
29430,16456,1082
26582,17722,6538
49367,23734,4798
32278,67405,1973
6329,90823,597
43038,21519,2507
0,13291,336
90190,50949,4360
66456,1582,1715
68987,43987,748
12658,94937,119
87975,31329,2132
15506,90190,204
52215,49051,2554
34810,92722,2712
48101,95253,1780
52215,23101,6096
44304,949,4370
29114,1899,4264
58861,77848,1824
3165,82911,229
41456,18038,215
85759,51899,1630
97785,70253,4913
60443,13291,1899
94937,45253,2202
46519,70886,4226
95570,76899,4916
7595,58861,450
23101,76899,4282
46203,12342,4926
97785,55380,1977
26899,27848,473
19937,37975,477
54747,34177,2461
99684,40190,1121
18038,60127,525
49367,78165,591
35443,84177,570
89557,90190,2397
26266,76266,2416
21203,94304,1585
38291,62342,2463
91456,79114,4422
54747,66139,2059
80063,72152,3660
83544,4114,2634
20253,91772,581
28797,27215,543
4114,90506,289
25316,61709,583
8544,36392,306
316,23734,128
47152,38608,1203
68987,8228,4594
91772,35443,2567
61076,82595,6179
96519,40506,7317
13924,72152,469
70570,75633,1047
61709,51899,4882
69620,67089,2009
19304,58861,1013
23734,75000,3064
90823,69620,7503
58861,99684,3660
9177,13924,753
24367,67089,1186
97785,35443,3110
58861,25633,2871
4747,63608,541
62025,83228,1104
0,45253,237
80063,5380,1259
21519,37658,380
9177,79114,198
19304,18354,201
52848,96519,1699
71835,83861,6090
63608,79747,1854
49684,1266,1442
68987,76582,1736
55063,71519,6307
67722,45570,2919
93038,56646,2311
73734,14873,453
33228,89873,3884
27532,12342,1255
70253,97152,4494
89873,41456,511
94304,29114,648
46835,56013,228
9810,25316,176
63924,41456,203
83544,27215,2480
36392,21519,1341
98734,89241,9423
55380,7595,5469
73734,63924,1371
19620,26899,617
72468,2848,738
0,84177,93
55380,38924,2184
95886,62658,1849
27215,53797,340
78165,53481,175
69304,52532,547
316,49684,100
22152,50000,1555
69620,48101,1819
21203,633,226
74051,32278,1557
56646,27848,1027
17405,26899,257
84810,47152,1402
85127,27215,1285
38291,39557,3364
41139,2848,494
34494,49051,270
70886,7911,3473
25949,89557,905
21835,80063,982
71203,47785,2228
80696,62658,1270
52532,62025,490
17089,4747,196
51899,47468,1129
58544,28165,492
76899,76266,605
11076,40190,123
49051,12658,572
14241,34810,159
88608,84177,1133
7911,95570,177
30380,61076,405
44937,21519,175
51899,25000,436
50949,19304,2567
45886,99367,6997
73418,27215,3990
36076,35127,4406
10759,67405,878
16456,17405,19092
86709,73418,13235
60127,76266,2651
98734,10759,3298
59810,29747,2621
15823,52215,986
25000,54747,650
55380,61392,2547
8861,68038,200
15823,633,1081
19937,27532,1238
72152,6013,2073
66772,94620,3051
35443,35443,1654
84177,54430,9353
88291,75000,4532
65506,21519,1075
2532,38291,143
56962,56962,251
65190,7595,546
